Column Name,kPB,aCH2,aT/O,aC/P,aB/P pH 7.6,aB/P pH 2.7,Type,Particle Size,TPP/SPP,Pore Size [A]
ACE 5 Phenyl,1.2,1.26,1,1.14,0.46,0.14,30,5,1,100
ACE 5 SuperC18,7.93,1.49,1.46,0.44,0.18,0.11,10,5,1,90
ACE C18 2um,5.47,1.47,1.51,0.38,0.25,0.11,10,2,1,100
ACE C18-Amide 10 µm,4.17,1.39,2.07,0.26,0.21,0.07,25,10,1,100
ACE C18-Amide 3 µm,4.03,1.41,2.07,0.26,0.21,0.08,25,3,1,100
ACE C18-Amide 5 µm,4.3,1.41,2.11,0.25,0.2,0.07,25,5,1,100
ACE C18-AR 2um,4.35,1.41,1.71,0.75,0.29,0.12,30,2,1,100
ACE C18-PFP 2um,4.81,1.38,2.98,0.53,0.24,0.11,28,2,1,100
ACE CN-ES 2um,2.34,1.3,4.44,0.17,0,0.04,20,2,1,100
ACE CN-ES 3um,2.14,1.3,4.5,0.18,0,0.04,20,3,1,100
ACE CN-ES 5um,2.19,1.3,4.57,0.17,0.22,0.05,20,5,1,100
ACE Super C18 2um,8.1,1.48,1.44,0.42,0.22,0.1,10,3.5,1,90
ACE Super C18 3um,7.28,1.47,1.42,0.43,0.23,0.11,10,3,1,90
ACE Ultracore Super phenyl hexyl 2.5um,2.63,1.36,1.11,0.68,0.32,0.09,30,2.5,0,95
ACE Ultracore Super phenyl hexyl 5um,2.5,1.37,1.1,0.67,0.31,0.09,30,5,0,95
ACE UltraCore SuperC18 2.5um,6.33,1.49,1.46,0.39,0.32,0.09,10,2.5,1,95
ACE UltraCore SuperC18 5um,5.61,1.5,1.45,0.4,0.32,0.1,10,5,1,95
ACME Amide C18,3.44,1.41,1.77,0.29,0.19,0.07,25,3,1,120
ACME C18,5.32,1.48,1.3,0.48,0.28,0.13,10,3,1,120
ACME F5/C18,5.88,1.46,1.63,0.45,0.35,0.17,29,3,1,120
