Column Name,kPB,aCH2,aT/O,aC/P,aB/P pH 7.6,aB/P pH 2.7,Type,Particle Size,TPP/SPP,Pore Size [A]
Sunfire C18,6.57,1.49,1.25,0.41,0.31,0.05,10,5,1,100
Sunniest C18 5um,7.06,1.48,1.65,0.43,0.27,0.11,10,5,1,120
Sunshell C18 2.6um,6.03,1.49,1.56,0.4,0.34,0.09,10,2.6,0,90
Sunshell C8 2.6um,2.96,1.39,1.14,0.31,0.29,0.09,10,2.6,0,90
Sunshell PFP 2.6um,1.19,1.24,2.67,1.03,4.14,0.41,28,2.6,0,90
Supelcogel TR-100,11.99,1.44,2.81,0.34,0.2,0.06,10,5,1,100
Supelcosil LC18,4.82,1.47,1.42,0.46,1.93,0.89,10,5,1,120
Supelcosil LC18-DB,5.16,1.51,1.4,0.42,0.47,0.14,10,5,1,120
Supelcosil LC-ABZ,3.14,1.37,2.23,0.24,0.2,0.03,25,5,1,120
Superspher RP18e,5.47,1.47,1.64,0.44,0.42,0.11,10,5,1,100
Suplex pkb 100,1.24,1.35,2.84,0.34,0.29,0,25,5,1,120
Symmetry C18,6.51,1.46,1.49,0.41,0.68,0.01,10,5,1,100
Symmetry C8,3.47,1.38,0.95,0.39,0.4,0.02,16,5,1,100
Symmetry Shield RP18,4.66,1.41,2.22,0.27,0.2,0.04,25,5,1,100
Symmetry Shield RP8,2.3,1.32,1.87,0.27,0.19,0.04,25,5,1,100
Synergi Fusion-RP,2.69,1.37,1.04,0.53,0.4,0.07,25,4,1,80
Synergi Max RP,4.91,1.44,1.15,0.33,0.32,0.08,9,4,1,80
Synergi Polar RP,1.18,1.22,1.35,2.53,1,0.14,31,4,1,80
Syngeri Hydro-RP,7.63,1.47,1.47,0.58,0.83,0.25,10,4,1,80
Targa C18,6.06,1.63,1.27,0.52,0.1,0.14,10,5,1,120
Titan C18,6.91,1.5,1.13,0.49,0.5,0.12,10,1.9,1,80
TSKGel super ODS,2.22,1.47,1.65,0.33,0.33,0.1,10,2,1,140
TSKGelODS-80TM,5.07,1.46,1.34,0.58,0.65,0.09,10,5,1,80
TSKGelODS-80TS,4.57,1.45,1.24,0.52,0.3,0.08,10,5,1,80
uBondpak C18,1.97,1.39,1.28,0.78,1.12,0.15,10,5,1,125
Ultra Aqueous C18,6.04,1.45,1.9,0.97,2.21,0.09,6,5,1,100
Ultra IBD,1.95,1.38,2.32,0.55,1.37,0.03,25,5,1,100
Ultra PFP propyl,0.17,1,1,1.22,2.46,0.16,28,5,1,100
Ultracarb ODS(30),13.27,1.52,1.39,0.48,0.73,0.06,10,5,1,60
Ultrasphere ODS,6.41,1.52,1.42,0.48,0.31,0.16,10,5,1,80
Vydac C18 multiring,1.86,1.46,2.35,0.56,1.23,0.09,10,5,1,300
XBridge BEH C18 300 3.5 µm,2.22,1.45,1.37,0.38,0.24,0.13,10,3.5,1,300
XBridge BEH C18 300 5 µm,2.18,1.45,1.39,0.34,0.23,0.12,10,5,1,300
XBridge C18,3.81,1.45,1.38,0.34,0.27,0.14,10,3.5,1,130
XBridge Phenyl,1.45,1.31,1,0.86,0.41,0.19,30,3.5,1,130
XBridge Shield RP18 3.5 µm,2.85,1.38,2.22,0.33,0.26,0.12,25,3.5,1,130
XSelect CSH C18,4.07,1.45,1.36,0.39,0.35,0.09,10,2.5,1,135
XSelect Fluoro phenyl,0.43,1,3.05,1.75,1.36,-0.14,28,3.5,1,135
XSelect HSS C18,7,1.51,1.48,0.36,0.24,0.1,10,3.5,1,135
XSelect HSS C18 SB,2.37,1.38,1.93,1.77,5.07,0.11,10,3.5,1,135
XSelect HSS T3,5.5,1.49,1.18,0.5,0.33,0.11,10,3.5,1,135
XSelect Phenyl hexyl,1.45,1.33,1,0.7,0.34,0.06,30,3.5,1,135
XTerra MS C18,3.52,1.42,1.26,0.42,0.35,0.1,10,3.5,1,125
XTerra MS C8,1.15,1.3,0.87,0.42,0.33,0.1,16,3.5,1,125
XTerra Phenyl,1.26,1.28,0.88,0.62,0.35,0.11,30,3.5,1,125
XTerra RP18,2.38,1.29,1.83,0.33,0.2,0.07,25,3.5,1,125
XTerra RP8,1.1,1.26,1.73,0.3,0.17,0.07,25,3.5,1,125
YMC Basic (C8),1.4,1.26,0.98,0.57,0.51,0.27,16,3,1,0
YMC Hydrosphere C18,3.9,1.34,1.2,0.56,0.39,0.08,10,5,1,120
YMC Triart C18,6.3,1.44,1.23,0.45,0.3,0.1,10,5,1,120
YMC-Pack ODS-AQ,4.44,1.46,1.25,0.57,0.41,0.11,6,5,1,120
YMC-Pack Pro C18,4.71,1.49,1.29,0.49,0.39,0.09,10,5,1,120
YMC-Pack Pro C18 RS,9.8,1.53,1.47,0.39,0.33,0.08,10,5,1,80
YMC-Pack Pro C4,1.45,1.33,0.73,0.4,0.31,0.08,15,5,1,120
ZirChrom MS,2.02,1.43,1.62,0.27,20,6.28,10,5,1,300
ZirChrom PBD,1.28,1.41,2.08,0.32,18.77,9.2,32,5,1,300
Zorbax 300 diphenyl 1.8um,0.32,1.06,0.93,0.98,0.7,0.42,22,1.8,1,300
Zorbax 300 SB-C18 1.8um,1.58,1.44,1.2,0.69,0.73,0.21,10,1.8,1,300
Zorbax 300 SB-C3 1.8um,0.29,1.07,1.07,2.32,1,0.32,14,1.8,1,300
Zorbax Bonus-RP,1.74,1.43,1.6,0.31,0.3,0.04,25,3.5,1,80
Zorbax Eclipse plus C18 1.8 µm,5.91,1.51,1.15,0.44,0.37,0.09,10,1.8,1,95
Zorbax Eclipse plus C18 3.5 µm,5.76,1.51,1.16,0.44,0.29,0.1,10,3.5,1,95
Zorbax Eclipse XB-phenyl,1.35,1.3,1,1.22,0.63,0.13,30,3.5,1,80
Zorbax Eclipse XDB-C18,5.79,1.5,1.3,0.47,0.35,0.09,10,3.5,1,80
Zorbax Extend C18,6.66,1.5,1.49,0.38,0.2,0.08,10,3.5,1,80
Zorbax Rx C18,5.68,1.57,1.61,0.54,0.55,0.11,10,3.5,1,80
Zorbax SB C8,1.97,1.37,1.08,1.27,0.81,0.12,16,3.5,1,80
Zorbax SB C8,2.23,1.37,0.93,1.32,1.26,0.14,16,1.8,1,80
Zorbax SB-C18,5.37,1.49,1.24,0.64,0.94,0.1,10,1.8,1,80
Zorbax SB-C18,6,1.49,1.2,0.65,1.46,0.13,10,3.5,1,80
Zorbax SB-C18 300,1.23,1.44,1.22,0.76,1,0.12,10,3.5,1,300
Zorbax SB-C3,0.91,1.32,1.06,2.71,0.88,0.11,14,3.5,1,80
Zorbax SB-CN,0.36,1.18,2.12,1.14,1.62,0.1,19,0,1,80
Zorbax SB-Phenyl,1.09,1.3,1.18,3.69,1.08,0.13,30,3.5,1,80
Zorbax-SB Aq,0.93,1.31,1.18,2.54,1.27,0.13,6,3.5,1,80
